;Primary Server Requests;;Secondary Server;;Primary Server Sockets;;;Secondary Server Sockets;;;Primary Server;;Secondary Server
time;requests;time;requests;time;allocated;timewait;time;allocated;timewait;time;Bad Request;time;Bad Request
08:25:06;10.041.183;08:25:06;5.300.007.115;08:25:06;337;0;08:25:06;99;3;08:25:06;0;08:25:06;1.349.952.754
08:25:07;0.9968857;08:25:07;5.050.030.421;08:25:07;338;0;08:25:07;99;132;08:25:07;0;08:25:07;1.270.109.886
08:25:08;10.029.576;08:25:08;54.899.969;08:25:08;290;0;08:25:08;99;132;08:25:08;0;08:25:08;1.299.991.018
08:25:09;0.9998276;08:25:09;5.039.994.836;08:25:09;290;0;08:25:09;99;132;08:25:09;0;08:25:09;1.300.010.708
08:25:10;0.9989691;08:25:10;5.960.004.161;08:25:10;100;0;08:25:10;99;132;08:25:10;0;08:25:10;1.299.996.902
08:25:11;10.028.664;08:25:11;5.539.991.831;08:25:11;100;0;08:25:11;99;132;08:25:11;0;08:25:11;1.379.999.087
08:25:12;10.007.876;08:25:12;5.799.991.832;08:25:12;100;0;08:25:12;12;132;08:25:12;0;08:25:12;1.269.983.872
08:25:13;10.004.788;08:25:13;5.910.024.502;08:25:13;100;0;08:25:13;12;132;08:25:13;0;08:25:13;134.001.228
08:25:14;0.9985824;08:25:14;599.999.364;08:25:14;100;0;08:25:14;12;483;08:25:14;0;08:25:14;1.309.954.757
08:25:15;0.9970511;08:25:15;5.429.996.726;08:25:15;21;0;08:25:15;12;483;08:25:15;0;08:25:15;1.309.943.557
08:25:16;10.010.171;08:25:16;5.960.004.228;08:25:16;21;0;08:25:16;12;483;08:25:16;0;08:25:16;1.330.110.097
08:25:17;10.032.737;08:25:17;5.639.999.047;08:25:17;21;0;08:25:17;12;483;08:25:17;0;08:25:17;1.370.000.221
08:25:18;10.005.641;08:25:18;5.950.000.196;08:25:18;21;0;08:25:18;12;483;08:25:18;0;08:25:18;1.280.000.894
08:25:19;0.9983523;08:25:19;5.479.999.443;08:25:19;21;0;08:25:19;12;523;08:25:19;0;08:25:19;1.280.000.684
08:25:20;0.9989352;08:25:20;5.860.008.569;08:25:20;21;0;08:25:20;12;523;08:25:20;0;08:25:20;1.349.997.762
08:25:21;10.017.723;08:25:21;5.680.002.052;08:25:21;21;0;08:25:21;12;523;08:25:21;0;08:25:21;1.359.997.008
08:25:22;0.999134;08:25:22;5.159.994.484;08:25:22;21;0;08:25:22;12;523;08:25:22;0;08:25:22;1.379.992.259
08:25:23;0.9923336;08:25:23;5.920.000.145;08:25:23;21;0;08:25:23;12;523;08:25:23;0;08:25:23;1.329.997.688
08:25:24;0.9966063;08:25:24;55.900.003;08:25:24;21;0;08:25:24;12;523;08:25:24;0;08:25:24;1.329.990.471
08:25:25;10.103.693;08:25:25;5.210.002.496;08:25:25;21;0;08:25:25;12;523;08:25:25;0;08:25:25;1.270.017.444
08:25:26;10.023.991;08:25:26;5.390.001.067;08:25:26;21;0;08:25:26;12;523;08:25:26;0;08:25:26;1.299.996.299
08:25:27;10.002.944;08:25:27;5.819.997.156;08:25:27;21;0;08:25:27;12;523;08:25:27;0;08:25:27;1.340.008.518
08:25:28;0.9987729;08:25:28;5.759.994.545;08:25:28;21;0;08:25:28;12;523;08:25:28;0;08:25:28;1.310.004.032
08:25:29;0.9983267;08:25:29;5.519.993.994;08:25:29;21;0;08:25:29;12;523;08:25:29;0;08:25:29;1.279.978.958
08:25:30;0.9994498;08:25:30;5.330.010.073;08:25:30;21;0;08:25:30;12;523;08:25:30;0;08:25:30;126.985.385
08:25:31;0.9946662;08:25:31;5.570.000.217;08:25:31;21;0;08:25:31;12;523;08:25:31;0;08:25:31;1.379.804.056
08:25:32;0.997087;08:25:32;5.220.000.554;08:25:32;21;0;08:25:32;12;523;08:25:32;0;08:25:32;1.320.336.229
08:25:33;10.068.837;08:25:33;5.100.000.405;08:25:33;21;0;08:25:33;12;523;08:25:33;0;08:25:33;1.359.990.017
08:25:34;10.045.828;08:25:34;5.399.999.507;08:25:34;21;0;08:25:34;12;523;08:25:34;0;08:25:34;1.360.015.918
08:25:35;10.000.344;08:25:35;5.370.002.551;08:25:35;21;0;08:25:35;12;523;08:25:35;0;08:25:35;1.309.956.171
08:25:36;10.000.291;08:25:36;512.999.344;08:25:36;21;0;08:25:36;12;523;08:25:36;0;08:25:36;1.340.063.849
08:25:37;10.006.914;08:25:37;5.649.999.846;08:25:37;21;0;08:25:37;12;523;08:25:37;0;08:25:37;1.319.996.634
08:25:38;0.9968752;08:25:38;5.190.009.474;08:25:38;21;0;08:25:38;12;523;08:25:38;0;08:25:38;1.329.987.577
08:25:39;0.9944716;08:25:39;5.569.995.754;08:25:39;21;0;08:25:39;12;523;08:25:39;0;08:25:39;1.279.946.679
08:25:40;10.019.532;08:25:40;5.160.001.769;08:25:40;21;0;08:25:40;12;523;08:25:40;0;08:25:40;1.379.827.203
08:25:41;10.049.394;08:25:41;5.799.988.664;08:25:41;21;0;08:25:41;12;523;08:25:41;0;08:25:41;1.360.201.295
08:25:42;0.995844;08:25:42;5.619.988.541;08:25:42;21;0;08:25:42;12;523;08:25:42;0;08:25:42;1.280.021.053
08:25:43;0.9960332;08:25:43;5.730.009.792;08:25:43;21;0;08:25:43;12;523;08:25:43;0;08:25:43;1.349.985.456
08:25:44;10.027.423;08:25:44;5.319.970.318;08:25:44;21;0;08:25:44;12;523;08:25:44;0;08:25:44;1.290.033.445
08:25:45;10.048.319;08:25:45;5.879.969.936;08:25:45;21;0;08:25:45;12;522;08:25:45;0;08:25:45;1.289.997.654
08:25:46;10.015.226;08:25:46;5.530.068.786;08:25:46;21;0;08:25:46;12;522;08:25:46;0;08:25:46;1.329.965.916
08:25:47;0.9949532;08:25:47;5.339.987.879;08:25:47;21;0;08:25:47;12;522;08:25:47;0;08:25:47;134.993.986
08:25:48;0.995458;08:25:48;0.9970805;08:25:48;21;0;08:25:48;12;522;08:25:48;0;08:25:48;0
08:25:49;10.021.708;08:25:49;0.9966403;08:25:49;21;0;08:25:49;12;522;08:25:49;0;08:25:49;0
08:25:50;0.9986629;08:25:50;10.002.054;08:25:50;21;0;08:25:50;12;350;08:25:50;0;08:25:50;0
08:25:51;0.9998421;08:25:51;10.052.413;08:25:51;21;0;08:25:51;12;350;08:25:51;0;08:25:51;0
08:25:52;10.057.647;08:25:52;0.998511;08:25:52;21;0;08:25:52;12;350;08:25:52;0;08:25:52;0
08:25:53;10.026.085;08:25:53;10.040.128;08:25:53;21;0;08:25:53;12;350;08:25:53;0;08:25:53;0
08:25:54;0.9994679;08:25:54;0.9995968;08:25:54;21;0;08:25:54;12;350;08:25:54;0;08:25:54;0
08:25:55;0.998043;08:25:55;10.004.618;08:25:55;21;0;08:25:55;12;350;08:25:55;0;08:25:55;0
08:25:56;1.000.301;08:25:56;0.9996629;08:25:56;21;0;08:25:56;12;350;08:25:56;0;08:25:56;0
08:25:57;10.026.999;08:25:57;0.9990922;08:25:57;21;0;08:25:57;12;350;08:25:57;0;08:25:57;0
08:25:58;0.9935544;08:25:58;0.9999523;08:25:58;21;0;08:25:58;12;350;08:25:58;0;08:25:58;0
08:25:59;0.9981005;08:25:59;0.996717;08:25:59;21;0;08:25:59;12;350;08:25:59;0;08:25:59;0
