;Primary Server Requests;;Secondary Server;;Primary Server Sockets;;;Secondary Server Sockets;;;Primary Server;;Secondary Server
time;requests;time;requests;time;allocated;timewait;time;allocated;timewait;time;Bad Request;time;Bad Request
21:15:00;0.9993027;21:15:00;0.9993841;21:15:00;21;0;21:15:00;29;2;21:15:00;0;21:15:00;0
21:15:01;0.996896;21:15:01;0.9993177;21:15:01;21;0;21:15:01;29;2;21:15:01;0;21:15:01;0
21:15:02;0.9994687;21:15:02;0.9995183;21:15:02;21;0;21:15:02;29;2;21:15:02;0;21:15:02;0
21:15:03;10.043.178;21:15:03;10.015.934;21:15:03;21;0;21:15:03;29;2;21:15:03;0;21:15:03;0
21:15:04;0.9989972;21:15:04;10.002.071;21:15:04;21;0;21:15:04;29;2;21:15:04;0;21:15:04;0
21:15:05;0.9994002;21:15:05;0.99895;21:15:05;21;0;21:15:05;29;2;21:15:05;0;21:15:05;0
21:15:06;10.016.151;21:15:06;1.001.012;21:15:06;21;0;21:15:06;29;2;21:15:06;0;21:15:06;0
21:15:07;0.9996016;21:15:07;0.9989303;21:15:07;21;0;21:15:07;29;2;21:15:07;0;21:15:07;0
21:15:08;10.002.817;21:15:08;0.9990392;21:15:08;21;0;21:15:08;29;2;21:15:08;0;21:15:08;0
21:15:09;0.9985732;21:15:09;10.019.099;21:15:09;21;0;21:15:09;29;2;21:15:09;0;21:15:09;0
21:15:10;10.007.987;21:15:10;10.001.509;21:15:10;21;0;21:15:10;29;2;21:15:10;0;21:15:10;0
21:15:11;3.232.654;21:15:11;0.9989417;21:15:11;131;0;21:15:11;29;2;21:15:11;1.210.937.684;21:15:11;0
21:15:12;68.086.542;21:15:12;10.011.896;21:15:12;172;0;21:15:12;29;2;21:15:12;126.689.895;21:15:12;0
21:15:13;129.133.615;21:15:13;0.9994193;21:15:13;278;0;21:15:13;29;2;21:15:13;127.381.495;21:15:13;0
21:15:14;54.932.654;21:15:21;258.298.428;21:15:14;321;0;21:15:14;229;2;21:15:14;0;21:15:14;147.883.372
21:15:15;0.9994845;21:15:22;558.016.691;21:15:15;321;0;21:15:15;229;2;21:15:15;0;21:15:15;146.000.694
21:15:16;10.002.247;21:15:23;478.913.599;21:15:16;320;0;21:15:16;229;2;21:15:16;0;21:15:16;143.952.408
21:15:17;10.004.215;21:15:24;520.085.497;21:15:17;319;0;21:15:17;229;2;21:15:17;0;21:15:17;147.984.403
21:15:18;0.9997678;21:15:25;510.001.956;21:15:18;319;0;21:15:18;229;2;21:15:18;0;21:15:18;146.064.873
21:15:19;10.002.878;21:15:26;48.090.969;21:15:19;321;0;21:15:19;229;2;21:15:19;0;21:15:19;147.984.126
21:15:20;0.999559;21:15:27;53.308.763;21:15:20;320;0;21:15:20;229;2;21:15:20;0;21:15:20;139.021.041
21:15:21;0.9999926;21:15:28;477.088.117;21:15:21;319;0;21:15:21;229;2;21:15:21;0;21:15:21;148.143.228
21:15:22;10.000.532;21:15:29;493.831.577;21:15:22;319;0;21:15:22;231;2;21:15:22;0;21:15:22;142.852.909
21:15:23;0.995933;21:15:30;47.908.234;21:15:23;320;0;21:15:23;231;2;21:15:23;0;21:15:23;14.998.108
21:15:24;10.028.704;21:15:31;471.004.842;21:15:24;321;0;21:15:24;232;2;21:15:24;0;21:15:24;15.001.928
