;Primary Server Requests;;Secondary Server;;Primary Server Sockets;;;Secondary Server Sockets;;;Primary Server;;Secondary Server
time;requests;time;requests;time;allocated;timewait;time;allocated;timewait;time;Bad Request;time;Bad Request
09:26:12;0.9969528;09:26:12;428.513.621;09:26:12;328;0;09:26:12;191;9;09:26:12;0;09:26:12;128.999.465
09:26:13;0.9994002;09:26:13;51.230.247;09:26:13;328;0;09:26:13;191;9;09:26:13;0;09:26:13;129.003.468
09:26:14;10.029.961;09:26:14;59.371.473;09:26:14;328;0;09:26:14;191;9;09:26:14;0;09:26:14;129.367.302
09:26:15;10.001.795;09:26:15;54.064.699;09:26:15;328;0;09:26:15;191;9;09:26:15;0;09:26:15;129.262.165
09:26:16;10.015.213;09:26:16;4.979.998.056;09:26:16;328;0;09:26:16;191;10;09:26:16;0;09:26:16;128.366.925
09:26:17;10.001.956;09:26:17;50.299.623;09:26:17;186;0;09:26:17;191;10;09:26:17;0;09:26:17;128.999.965
09:26:18;0.9995953;09:26:18;4.909.986.882;09:26:18;186;0;09:26:18;191;10;09:26:18;0;09:26:18;12.679.858
09:26:19;0.9971836;09:26:19;4.930.027.956;09:26:19;186;0;09:26:19;191;11;09:26:19;0;09:26:19;127.402.339
09:26:20;0.9978588;09:26:20;5.089.988.888;09:26:20;186;0;09:26:20;191;11;09:26:20;0;09:26:20;132.798.929
09:26:21;10.031.755;09:26:21;4.909.984.532;09:26:21;186;0;09:26:21;191;11;09:26:21;0;09:26:21;129.002.823
09:26:22;1.001.777;09:26:22;5.260.020.091;09:26:22;186;0;09:26:22;191;11;09:26:22;0;09:26:22;129.000.791
09:26:23;10.004.159;09:26:23;5.229.999.429;09:26:23;186;0;09:26:23;191;12;09:26:23;0;09:26:23;128.996.465
09:26:24;0.9959066;09:26:24;5.189.994.893;09:26:24;186;0;09:26:24;191;12;09:26:24;0;09:26:24;129.000.901
09:26:25;0.9979123;09:26:25;5.110.031.457;09:26:25;186;0;09:26:25;191;12;09:26:25;0;09:26:25;128.996.154
09:26:26;1.005.656;09:26:26;5.179.984.794;09:26:26;186;0;09:26:26;191;13;09:26:26;0;09:26:26;12.900.166
09:26:27;0.9975408;09:26:27;4.979.929.048;09:26:27;86;0;09:26:27;191;13;09:26:27;0;09:26:27;129.007.012
09:26:28;0.9984986;09:26:28;5.189.983.027;09:26:28;86;0;09:26:28;191;17;09:26:28;0;09:26:28;126.426.652
09:26:29;10.023.654;09:26:29;4.960.070.479;09:26:29;86;0;09:26:29;126;136;09:26:29;0;09:26:29;124.204.183
09:26:30;10.007.435;09:26:30;4.940.046.676;09:26:30;86;0;09:26:30;126;136;09:26:30;0;09:26:30;125.428.313
