;Primary Server Requests;;Secondary Server;;Primary Server Sockets;;;Secondary Server Sockets;;;Primary Server;;Secondary Server
time;requests;time;requests;time;allocated;timewait;time;allocated;timewait;time;Bad Request;time;Bad Request
09:27:33;1.001.771;09:27:33;4.939.951.853;09:27:33;33;0;09:27:33;56;433;09:27:33;0;09:27:33;1.224.678.132
09:27:34;10.000.564;09:27:34;5.209.997.403;09:27:34;33;0;09:27:34;56;433;09:27:34;0;09:27:34;126.470.413
09:27:35;0.9973037;09:27:35;4.950.101.547;09:27:35;33;0;09:27:35;56;433;09:27:35;0;09:27:35;129.366.355
09:27:36;0.9932657;09:27:36;5.189.994.794;09:27:36;33;0;09:27:36;56;433;09:27:36;0;09:27:36;12.999.944
09:27:37;10.042.835;09:27:37;5.089.979.483;09:27:37;33;0;09:27:37;56;433;09:27:37;0;09:27:37;129.637.453
09:27:38;10.061.449;09:27:38;52.399.757;09:27:38;33;0;09:27:38;56;433;09:27:38;0;09:27:38;126.058.526
09:27:39;0.9966083;09:27:39;501.997.825;09:27:39;33;0;09:27:39;56;433;09:27:39;0;09:27:39;0
09:27:40;0.9990646;09:27:40;5.250.029.687;09:27:40;33;0;09:27:40;56;433;09:27:40;0;09:27:40;0
09:27:41;10.037.421;09:27:41;5.060.040.474;09:27:41;33;0;09:27:41;56;433;09:27:41;0;09:27:41;0
09:27:42;0.9892887;09:27:42;4.969.990.881;09:27:42;33;0;09:27:42;56;433;09:27:42;0;09:27:42;0
09:27:43;0.9963626;09:27:43;5.160.016.848;09:27:43;33;0;09:27:43;56;433;09:27:43;0;09:27:43;0
09:27:44;10.153.495;09:27:44;5.170.007.389;09:27:44;33;0;09:27:44;56;433;09:27:44;0;09:27:44;0
09:27:45;10.003.594;09:27:45;4.949.998.845;09:27:45;33;0;09:27:45;56;433;09:27:45;0;09:27:45;0
09:27:46;0.9996873;09:27:46;5.179.815.491;09:27:46;37;0;09:27:46;56;433;09:27:46;0;09:27:46;0
09:27:47;0.9998763;09:27:47;5.079.973.886;09:27:47;37;0;09:27:47;56;433;09:27:47;0;09:27:47;0
09:27:48;0.9983636;09:27:48;5.150.174.984;09:27:48;37;0;09:27:48;56;433;09:27:48;0;09:27:48;0
09:27:49;0.9995134;09:27:49;5.249.958.928;09:27:49;37;0;09:27:49;56;433;09:27:49;0;09:27:49;0
09:27:50;10.016.975;09:27:50;5.080.020.363;09:27:50;43;0;09:27:50;56;433;09:27:50;0;09:27:50;0
09:27:51;0.9999125;09:27:51;5.170.030.872;09:27:51;43;0;09:27:51;56;433;09:27:51;0;09:27:51;0
09:27:52;10.008.409;09:27:52;5.129.977.954;09:27:52;43;0;09:27:52;56;432;09:27:52;0;09:27:52;0
09:27:53;0.998438;09:27:53;5.090.016.135;09:27:53;43;0;09:27:53;56;434;09:27:53;0;09:27:53;0
09:27:54;0.9993363;09:27:54;4.940.022.474;09:27:54;43;0;09:27:54;56;302;09:27:54;0;09:27:54;0
09:27:55;10.025.897;09:27:55;4.919.984.303;09:27:55;43;0;09:27:55;56;302;09:27:55;0;09:27:55;0
09:27:56;0.9995487;09:27:56;5.209.995.277;09:27:56;43;0;09:27:56;21;302;09:27:56;0;09:27:56;0
09:27:57;10.003.194;09:27:57;4.990.023.872;09:27:57;43;0;09:27:57;21;302;09:27:57;0;09:27:57;0
09:27:58;0.9997111;09:27:58;508.000.246;09:27:58;43;0;09:27:58;21;302;09:27:58;0;09:27:58;0
09:27:59;0.9986155;09:27:59;5.249.961.894;09:27:59;43;0;09:27:59;21;302;09:27:59;0;09:27:59;0
09:28:00;0.9999969;09:28:00;5.049.993.678;09:28:00;43;0;09:28:00;21;302;09:28:00;0;09:28:00;0
