;Primary Server Requests;;Secondary Server;;Primary Server Sockets;;;Secondary Server Sockets;;;Primary Server;;Secondary Server
time;requests;time;requests;time;allocated;timewait;time;allocated;timewait;time;Bad Request;time;Bad Request
08:47:42;0.9996773;08:47:42;524.000.717;08:47:42;329;0;08:47:42;192;9;08:47:42;0;08:47:42;140.005.669
08:47:43;10.022.474;08:47:43;5.129.987.322;08:47:43;329;0;08:47:43;192;9;08:47:43;0;08:47:43;139.996.861
08:47:44;10.008.228;08:47:44;5.310.017.117;08:47:44;329;0;08:47:44;192;9;08:47:44;0;08:47:44;137.430.965
08:47:45;10.016.224;08:47:45;5.209.955.842;08:47:45;329;0;08:47:45;115;128;08:47:45;0;08:47:45;138.137.449
08:47:46;10.019.305;08:47:46;5.129.997.455;08:47:46;329;0;08:47:46;115;128;08:47:46;0;08:47:46;14.443.299
08:47:47;0.9991963;08:47:47;5.030.034.732;08:47:47;152;0;08:47:47;115;128;08:47:47;0;08:47:47;139.999.496
08:47:48;10.013.714;08:47:48;5.339.997.992;08:47:48;152;0;08:47:48;115;128;08:47:48;0;08:47:48;139.999.983
08:47:49;10.034.333;08:47:49;5.289.968.644;08:47:49;150;0;08:47:49;115;128;08:47:49;0;08:47:49;139.996.425
08:47:50;10.001.511;08:47:50;5.330.051.303;08:47:50;150;0;08:47:50;115;128;08:47:50;0;08:47:50;140.001.447
08:47:51;0.9936281;08:47:51;5.230.016.724;08:47:51;148;0;08:47:51;115;128;08:47:51;0;08:47:51;139.999.042
08:47:52;0.9926421;08:47:52;5.159.998.195;08:47:52;148;0;08:47:52;115;128;08:47:52;0;08:47:52;13.963.331
08:47:53;10.034.122;08:47:53;5.379.991.317;08:47:53;148;0;08:47:53;192;149;08:47:53;0;08:47:53;139.734.619
08:47:54;10.045.028;08:47:54;5.299.993.765;08:47:54;148;0;08:47:54;192;149;08:47:54;0;08:47:54;13.806.529
08:47:55;10.019.491;08:47:55;5.280.004.503;08:47:55;148;0;08:47:55;192;149;08:47:55;0;08:47:55;132.999.988
08:47:56;1.001.227;08:47:56;5.010.012.935;08:47:56;148;0;08:47:56;192;149;08:47:56;0;08:47:56;134.100.412
08:47:57;10.020.472;08:47:57;5.399.999.065;08:47:57;100;0;08:47:57;192;149;08:47:57;0;08:47:57;137.834.563
08:47:58;0.9997306;08:47:58;5.139.939.301;08:47:58;100;0;08:47:58;192;149;08:47:58;0;08:47:58;140.633.198
08:47:59;10.006.062;08:47:59;5.079.965.297;08:47:59;100;0;08:47:59;193;149;08:47:59;0;08:47:59;139.998.248
08:48:00;0.9987656;08:48:00;5.080.085.579;08:48:00;27;0;08:48:00;100;149;08:48:00;0;08:48:00;14.000.089
08:48:01;0.9976189;08:48:01;4.999.976.779;08:48:01;27;0;08:48:01;106;302;08:48:01;0;08:48:01;140.001.065
08:48:02;10.001.705;08:48:02;5.389.993.577;08:48:02;27;0;08:48:02;106;302;08:48:02;0;08:48:02;140.000.658
08:48:03;10.020.038;08:48:03;5.140.012.214;08:48:03;27;0;08:48:03;106;302;08:48:03;0;08:48:03;139.998.227
08:48:04;10.010.306;08:48:04;5.189.970.384;08:48:04;27;0;08:48:04;106;302;08:48:04;0;08:48:04;137.432.928
08:48:05;0.9978639;08:48:05;5.099.986.634;08:48:05;27;0;08:48:05;106;302;08:48:05;0;08:48:05;13.666.825
