;Primary Server Requests;;Secondary Server;;Primary Server Sockets;;;Secondary Server Sockets;;;Primary Server;;Secondary Server
time;requests;time;requests;time;allocated;timewait;time;allocated;timewait;time;Bad Request;time;Bad Request
09:52:17;10.008.969;09:52:17;10.024.797;09:52:17;28;0;09:52:17;31;0;09:52:17;0;09:52:17;0
09:52:18;10.007.797;09:52:18;100.022;09:52:18;30;0;09:52:18;31;1;09:52:18;0;09:52:18;0
09:52:19;0.9998936;09:52:19;10.004.617;09:52:19;29;0;09:52:19;29;1;09:52:19;0;09:52:19;0
09:52:20;1.000.141;09:52:20;0.9997567;09:52:20;29;0;09:52:20;31;1;09:52:20;0;09:52:20;0
09:52:21;0.999651;09:52:21;0.9994062;09:52:21;28;0;09:52:21;31;1;09:52:21;0;09:52:21;0
09:52:22;0.9997138;09:52:22;0.9999377;09:52:22;30;0;09:52:22;31;1;09:52:22;0;09:52:22;0
09:52:23;10.000.612;09:52:23;10.003.234;09:52:23;29;0;09:52:23;31;1;09:52:23;0;09:52:23;0
09:52:24;0.9995267;09:52:24;0.9998661;09:52:24;28;0;09:52:24;31;1;09:52:24;0;09:52:24;0
09:52:25;0.9996286;09:52:25;0.9997461;09:52:25;30;0;09:52:25;31;1;09:52:25;0;09:52:25;0
09:52:26;0.9993351;09:52:26;0.9998705;09:52:26;29;0;09:52:26;31;1;09:52:26;0;09:52:26;0
09:52:27;10.020.274;09:52:27;10.000.523;09:52:27;28;0;09:52:27;21;1;09:52:27;0;09:52:27;0
09:52:28;0.9999077;09:52:28;10.001.228;09:52:28;28;0;09:52:28;21;1;09:52:28;0;09:52:28;0
09:52:29;100.009;09:52:29;0.999605;09:52:29;29;0;09:52:29;21;1;09:52:29;0;09:52:29;0
09:52:30;0.9998965;09:52:30;0.9991866;09:52:30;30;0;09:52:30;21;1;09:52:30;0;09:52:30;0
09:52:31;0.9998636;09:52:31;10.009.099;09:52:31;29;0;09:52:31;21;1;09:52:31;0;09:52:31;0
09:52:32;0.9994205;09:52:32;10.007.115;09:52:32;30;0;09:52:32;21;1;09:52:32;0;09:52:32;0
09:52:33;10.034.017;09:52:33;0.9984386;09:52:33;28;0;09:52:33;21;1;09:52:33;0;09:52:33;0
